VideoID,Title,Description,Author,Published,ViewCount,Duration,Likes,Dislikes,Rating,Category,CategoryNumber,CommentCount,Comments,Query Term,LabelOrder,TaskOrder
_td9UgI_o-w,100k Freedom Run-Help 2 Follow U!,"http://www.joino2.com/kingdomwealth Ready, Set, Go-100k Freedom run is under way. Marlena Burton 618 223 6006.",TransferofHealth&Wealth,2017-06-29T01:51:41.000Z,53,0:02:47,1,0,5,Howto & Style,7,0,[],"""follow u""",2742,1
PI4ZFPqk5oQ,How to Reapply thermal paste to MSI Wind laptop,How to Reapply thermal paste to MSI Wind laptop.,Thomas Duncan,2009-06-12T05:04:35.000Z,9464,0:04:26,12,4,4,Howto & Style,7,15,[],"thermal ""thermal paste""",87,2
TPMbfNrBaEk,Solomark Night Vision Monocular Review,"Hope it can bring you a wonderful information. For more details on this product, please find on: http://amzn.to/1SDQj2g.",Perry Winkle,2016-04-12T03:06:56.000Z,12914,0:06:57,58,4,4.741935253,People & Blogs,11,0,[],"""night vision""",875,3
6YNqKvC-gyc,"Mimi the Cat, captured in longwave infrared (2-14 micrometers)","Mimi the Cat, captured in longwave infrared (2-14 micrometers). Skip to 0:30 to see the kitty!!!!!",goofypettiger,2015-02-12T19:32:49.000Z,126,0:01:33,0,0,0,Science & Technology,13,0,[],"lepton ""infrared camera""",2285,4
01rb2i-GxeA,Follow me and i will Follow uðŸ˜…ðŸ˜†ðŸ˜‡ðŸ‘‘ðŸ’²ðŸ’³,Love u follow me and I will follow u too.,Raqibat Sule,2016-05-17T17:39:34.000Z,33,0:02:17,2,0,5,People & Blogs,11,4,[],"""follow u""",1540,5
H4CYQddYg_M,Dell Inspiron N5010 OVERHEATING FIX : Applying THERMAL PASTE under heatsink,In this video I have completely tear down the DELL INSPIRON N5010 to change the thermal paste on graphic card and the processor also. Change of thermal ...,pprasoon91,2015-08-05T11:13:55.000Z,14646,0:33:26,23,1,4.833333492,Science & Technology,13,9,[],"""thermal paste""",2106,6
Wz8pqrvpCdA,Social Pro Gold U - Facebook Advertising for Real Estate Agents,Join Jacqueline from RLS2000 for our November 2015 Social Pro Gold U Webinar to learn about Facebook Ads for your real estate business.,RLS2000,2015-11-19T19:19:19.000Z,209,0:51:55,0,0,0,People & Blogs,11,0,[],"""u facebook""",863,7
yw1ByhaSvHo,How Night Vision Works,"This is a video report made by CBS5 'Good Question' with Ken Bastinda, where he has a talk with James Munn from American Technologies Network Corp.",ATN Corp.,2010-03-24T11:59:22.000Z,200340,0:01:34,262,17,4.756272316,Science & Technology,13,4,[],"thermography ""night vision""",2539,8
hcMRG0emlbQ,M7-x long range PTZ thermal imaging flir camera,"M7-x long range PTZ thermal camera multi sensor system with continuous zoom IR camera and HD CCTV zoom color low light daytime camera, a complete ...",hms311,2011-07-17T07:41:37.000Z,0,0:00:00,0,0,0,Unknown,16,0,[],"""thermal image"" ""flir thermal""",1495,9
f4KZ6G5Xd5E,Ganti  thermal paste di vga,video ini menunjukan seberapa ngaruh thermal pasta di vga anda dan cara mengganti thermal pasta subscribe like and share for more video.,darmawanpc,2016-04-06T11:05:06.000Z,3664,0:05:13,17,2,4.578947544,Science & Technology,13,8,[],"""thermal paste""",987,10
