VideoID,Title,Description,Author,Published,ViewCount,Duration,Likes,Dislikes,Rating,Category,CommentCount,Comments,Query Term
EJLCw2ok6ZI,FLIR ONE Hot Topics - Detecting Shower Leaks,"FLIR ONE can detect issues with your plumbing and indoor pipes. In this video, we'll cover the use of thermal imaging to detect shower leaks. Connect with our ...",FLIRONE,2014-07-24T00:04:10.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""flir one"""
kR6F1bnovWs,FLIR ONE Thermal Imaging camera for Android pre-release video demo,FLIR ONE Thermal Imaging camera for Android pre-release video demo - see more at http://www.slashgear.com/android/,SlashGear,2015-06-30T20:37:00.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""imaging camera"""
KL77sFbQcRU,HP EliteBook 8460p Arctic MX-4 Thermal Paste Upgrade,Today Nick applies new thermal paste to an HP EliteBook 8460p. Ambient room temperature 76 degrees Fahrenheit Big thanks to Computer Express for their ...,Randomfide,2015-10-18T19:34:06.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""thermal paste"""
mPitScHzGCE,Thermal Video of Handgun Silencer (Seek Thermal),Watching a handgun silencer heat up while being fired using a Seek Thermal camera.,guntruth,2014-10-17T03:41:00.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"thermography ""seek thermal"""
H8omyG-ncN8,FLIR T440 Infrared Camera,"FLIR T440 Infrared Camera is a portable thermal imaging camera that takes into account ergonomics, weight and ease of use to a new level. The FLIR T440 has ...",airconcern,2012-06-13T12:04:23.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""infrared camera"""
pFzAi4Tg33c,Energy Healing with Infrared Camera,Watch the energy healing through the eyes of an infrared camera.,MaximaMay,2015-08-31T03:17:52.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"infrared ""infrared camera"""
RlXDPUAkw1k,Live Archive: Checking out FLIR Oryx at SPIE DCS 2017,"In this video we talk about FLIR Oryx, our first 10 GigE machine vision camera. Learn more: https://www.ptgrey.com/10-gige-vision.",FLIR Systems,2017-04-16T17:44:58.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""flir lepton"""
jI0boP6HX-s,XINTEST HT - 02 Handheld Infrared Thermal Imager Imaging Camera for Medical / Archaeological / Tr...,http://elma-shop.com/microscopes_&_endoscope/128391901.php XINTEST HT - 02 Handheld Infrared Thermal Imager Imaging Camera for Medical ...,Maiia Soboleva,2017-03-09T08:23:07.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"thermography ""thermal imager"""
QyKdBs0CoVk,Thermal Resistance Assessment Chamber - Hot Box - Insulation Testing,"Thermal Resistance Assessment Chamber (TRAC) In Celina's on-going effort to provide the highest quality product for the most economical price, our ...",Celina Tent,2015-11-05T20:21:55.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""thermal camera"" ""thermal paste"""
IObsSaUz-as,160x120 5x 75mm lens thermal imaging camera - www.nightvisioncn.com,160x120 5x 75mm lens thermal imaging camera.,www.nightvisioncn.com,2015-10-31T08:08:14.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""thermal imaging"" ""flir lepton"""
NyyCQ3DABBc,Whats the difference between a 640x480 thermal sensor and a 384x288 thermal sensor.,Testing the difference between a 640x480 sensor and a 384x288 thermal sensor at close range to see detail and definition differences. www.scottcountry.co.uk.,The Night Vision Show,2016-06-09T14:49:19.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""thermal image"" ""night vision"""
lc2KPOZ-qNo,KB Presents FLIR Thermal Imaging,Video captured in Kansas City by FLIR Thermal Cameras.,Kenton Brothers Systems for Security,2011-08-04T16:24:55.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""thermal imaging"" ""flir thermal"""
ZOWg3wucbIE,The Effect of Poor Thermal Compound Application on Graphics Processors,"While filming an update to my Thermal Compound replacement guide, I ran into some issues when I began the experimentation phase of the process.",thelol1759,2015-01-21T20:48:31.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""thermal imaging"" ""thermal paste"""
5PnxTeGfTc0,CNC Machining Night Vision Scopes,"IR Defense is getting ready to ship out night vision rifle scopes to troops overseas, but the scopes need a body casing to hold all the pieces together. To get the ...",TITANS of CNC,2015-09-11T19:22:58.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""night vision"""
vvNteLAyfds,Veela - Night Vision,Free download available here! www.soundcloud.com/veelabeats/new-release-night-vision Original everything by Veela. Facebook!,VEELA,2011-03-21T15:32:53.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""night vision"""
JpnsFVtHCao,FLIR MR160 Imaging Moisture Meter,The FLIR MR160 is the only moisture meter with the power to show you where to measure the problem. Featuring Infrared Guided Measurement (IGM) ...,FLIR Systems EMEA,2015-08-11T11:34:25.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""flir lepton"""
1F1awttl2As,FLIR one problem,,Massimo Della Vedova,2016-12-22T07:32:15.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""flir one"""
f9CpFp2p4nM,My New FLIR E95 Camera Arrived!! Yeah!!,My new FLIR E95 Camera came so I did an unboxing and initial camera startup for you! To learn more about the FLIR E95 Infrared Cameras Visit flir4me.com.,OJ Utter,2017-04-25T19:51:38.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"lepton ""infrared camera"""
Y8spuieaMTM,Dog in infrared by FLIR thermal camera,,WorkswellVideos,2013-11-30T11:36:03.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"infrared ""flir thermal"""
XMU7V-DUrRQ,Medical Infrared : ICI's 7320 Auto Focus Thermal Camera,"ICI 7320 Infrared Camera with auto focus and linear motion. This system is designed for multiple applications, primarily body scans in a doctors environment.",dstrahan1,2011-03-23T14:22:51.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"thermography ""infrared camera"""
BRXoEtqeBXM,FLIR MR176 Imaging Moisture Meter Plus with IGM HD,FLIR Moisture Meter Plus with the Lepton-Core (80x60 Pixel). More Information: www.emitec.ch.,emitec industrial,2015-10-07T09:30:32.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"lepton ""imaging camera"""
lF5Snm4D_YU,eHrvatska 30 - Oglašavanje na Facebook-u,20.01.2010.,eHrvatskaTV,2010-01-20T23:27:50.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""u facebook"""
820mJ5gBaok,FLIR ONE 超平價抓漏水神器，設定使用教學,超平價、好用的，手機版熱顯像鏡頭，超強大~~水電工程人員有法寶新利器了!! 想再多了解相關資訊及報價購買或租借Flir one熱像儀請找JB 0970-059230.,JB LIN,2017-05-06T03:55:44.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""flir one"""
YWAPPNsHiGM,Seek Thermal Camera LW-AAA Test,,Dylan Kirdahy,2015-12-16T02:19:47.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"thermography ""seek thermal"""
7zUWaV1ALVg,How To Reball a PS3 GPU 3/3 [ModzLink.com],Enjoyed the video or found it helpful? feel generous? you can donate on the main channel page. Thanks for watching! PLEASE KEEP THE COMMENTS ...,ModzLink,2015-08-06T19:05:13.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"infrared ""thermal paste"""
9-uCvURUkGI,Sensor + Test 2016 | Melexis | EVB90621: Evaluation Board for MLX90621 Thermal Array,The Melexis EVB90621 evaluation board is an easy interface between the MLX90621 thermal infrared array and a PC. The evaluation board and its software ...,Rutronik,2016-07-19T15:13:21.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""thermal image"" ""flir lepton"""
HGHzhgQLKfk,Unboxing the all new FLIR ETS320 Benchtop Thermal Imaging Camera,What comes in the box with the FLIR ETS320? The FLIR ETS320 thermal imaging solution is our first camera designed for quick temperature checks on PCB ...,FLIR Systems,2017-05-01T13:48:55.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""imaging camera"""
zRKKG-YAllU,FLIR A35 Temp Measurement,The test was conducted with the FLIR A35 and the GEV Demo software.,toshi1018,2015-12-18T11:49:11.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"thermography ""flir lepton"""
_I-zz9Q9CDQ,Flir i7 IR Camera Infrared Thermography,http://www.netzerotools.com/flir-i7-thermal-imaging-camera.html FLIR i7 Compact Thermal Imaging InfraRed Camera The FLIR i7 thermal imaging camera is an ...,AC Tool Supply,2012-06-19T18:51:38.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""infrared thermography"""
pGqXisRMw6k,A Howl In the Woods | Finding Bigfoot,"The bigfoot team descends on a Georgia forest with night vision and thermal imaging cameras. They take turns ""calling out,"" but when something seems to call ...",Animal Planet,2011-06-02T19:28:17.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"""thermal image"" ""night vision"""
ka_4ZFLWkEE,Germanium optics for LWIR Camera For Harsh Environments sales@dmphotonics.com,Germanium optics for LWIR Camera For Harsh Environments sales@dmphotonics.com Example of the large Germanium Window: circular plane-parallel ...,delmarphotonics,2014-11-10T05:24:45.000Z,-1,-1,-1,-1,-1,-1,-1,-1,"lepton ""night vision"""
